Price,House_Type,Area,Bedrooms,Bathrooms,Receptions,Location,County,Central_London_Flag,Area_Classifier
650000,Flat / Apartment,814,2,2,2,Islington,London,Yes,small
735000,Flat / Apartment,761,2,2,2,Wandsworth,London,No,small
675000,Flat / Apartment,700,2,2,2,Wandsworth,London,No,small
420000,Flat / Apartment,403,1,1,1,Westminster,London,No,small
650000,New development,560,1,1,1,Hammersmith and Fulham,London,No,small
925000,Flat / Apartment,646,2,2,2,Kensington and Chelsea,London,No,small
725000,Flat / Apartment,778,2,2,2,Westminster,London,No,small
750000,Flat / Apartment,647,2,2,2,Westminster,London,No,small
1075000,Duplex,865,2,2,2,Kensington and Chelsea,London,No,small
500000,Flat / Apartment,597,1,1,1,Lambeth,London,No,small
1175000,Flat / Apartment,765,2,2,2,Kensington and Chelsea,London,No,small
550000,Flat / Apartment,479,1,1,1,Islington,London,No,small
374950,New development,664,2,2,2,Esher,Surrey,No,small
400000,Flat / Apartment,805,2,2,2,Surbiton,Surrey,No,small
695000,Flat / Apartment,945,3,3,3,Lambeth,London,No,small
975000,Flat / Apartment,749,2,2,2,Kensington and Chelsea,London,No,small
650000,Flat / Apartment,869,3,3,3,Wandsworth,London,No,small
550000,Flat / Apartment,670,1,1,1,Wandsworth,London,No,small
525000,New development,590,1,1,1,Wandsworth,London,No,small
725000,House,884,3,3,3,Hackney,London,No,small
490000,New development,570,1,1,1,Hackney,London,No,small
1250000,Flat / Apartment,811,2,2,2,Westminster,London,No,small
735000,Flat / Apartment,969,2,2,2,Wandsworth,London,No,small
595000,Flat / Apartment,643,2,2,2,Hammersmith and Fulham,London,No,small
820000,House,974,3,3,3,Tower Hamlets,London,No,small
830000,Flat / Apartment,850,2,2,2,Camden,London,No,small
500000,Flat / Apartment,458,1,1,1,Camden,London,No,small
480000,Flat / Apartment,448,1,1,1,Lambeth,London,No,small
625000,Flat / Apartment,540,1,1,1,Islington,London,Yes,small
1100000,New development,791,2,2,2,Westminster,London,No,small
799995,Flat / Apartment,942,3,3,3,Tower Hamlets,London,No,small
795000,Flat / Apartment,495,1,1,1,Westminster,London,No,small
525000,House,829,2,2,2,Woodford Green,Essex,No,small
820000,Flat / Apartment,631,2,2,2,Westminster,London,No,small
680000,Flat / Apartment,705,2,2,2,Hammersmith and Fulham,London,No,small
500000,Flat / Apartment,516,2,2,2,Wandsworth,London,No,small
850000,Flat / Apartment,773,2,2,2,Islington,London,No,small
780000,Flat / Apartment,654,2,2,2,Camden,London,No,small
399950,New development,697,2,2,2,Esher,Surrey,No,small
575000,Flat / Apartment,773,2,2,2,Hounslow,London,No,small
1635000,New development,903,2,2,2,City Of London,London,Yes,small
625000,Flat / Apartment,902,2,2,2,Esher,Surrey,No,small
800000,Flat / Apartment,922,2,2,2,Lambeth,London,No,small
1175000,Flat / Apartment,687,2,2,2,Kensington and Chelsea,London,No,small
550000,Penthouse,414,1,1,1,Hackney,London,No,small
550000,Flat / Apartment,547,1,1,1,Hackney,London,No,small
580000,New development,460,1,1,1,Wandsworth,London,No,small
400000,Flat / Apartment,774,2,2,2,Greenwich,London,No,small
415000,Flat / Apartment,525,1,1,1,Tower Hamlets,London,No,small
1195000,Flat / Apartment,872,2,2,2,Kensington and Chelsea,London,No,small
525000,Flat / Apartment,514,2,2,2,Merton,London,No,small
750000,Flat / Apartment,604,1,1,1,Kensington and Chelsea,London,No,small
575000,Flat / Apartment,800,2,2,2,Southwark,London,No,small
650000,Flat / Apartment,584,1,1,1,Islington,London,Yes,small
475000,Flat / Apartment,525,1,1,1,Westminster,London,No,small
752500,New development,874,2,2,2,Camden,London,No,small
550000,Flat / Apartment,609,2,2,2,Wandsworth,London,No,small
625000,Flat / Apartment,428,1,1,1,Westminster,London,No,small
995000,Flat / Apartment,710,2,2,2,Camden,London,No,small
450000,New development,538,1,1,1,Islington,London,No,small
850000,Flat / Apartment,935,2,2,2,Hounslow,London,No,small
975000,Flat / Apartment,950,2,2,2,Westminster,London,No,small
865000,Flat / Apartment,880,2,2,2,Wandsworth,London,No,small
650000,Flat / Apartment,859,2,2,2,Wandsworth,London,No,small
399995,Flat / Apartment,472,1,1,1,Tower Hamlets,London,No,small
525000,Flat / Apartment,775,1,1,1,Wandsworth,London,No,small
850000,Flat / Apartment,726,2,2,2,Camden,London,No,small
695000,House,795,2,2,2,Merton,London,No,small
615000,Flat / Apartment,972,2,2,2,Tower Hamlets,London,No,small
315000,Flat / Apartment,526,1,1,1,Lambeth,London,No,small
450000,Flat / Apartment,459,1,1,1,Islington,London,No,small
500000,House,963,2,2,2,Surbiton,Surrey,No,small
675000,Flat / Apartment,949,2,2,2,Wandsworth,London,No,small
650000,Flat / Apartment,583,1,1,1,Islington,London,Yes,small
725000,Flat / Apartment,858,3,3,3,Richmond Upon Thames,London,No,small
625000,Flat / Apartment,664,2,2,2,Hammersmith and Fulham,London,No,small
525000,Flat / Apartment,630,2,2,2,Richmond Upon Thames,London,No,small
290000,Flat / Apartment,455,1,1,1,Hackney,London,No,small
400000,Flat / Apartment,705,2,2,2,Lewisham,London,No,small
735000,Flat / Apartment,849,2,2,2,Islington,London,Yes,small
679000,Flat / Apartment,832,2,2,2,Tower Hamlets,London,No,small
625000,New development,723,2,2,2,Hackney,London,No,small
600000,Flat / Apartment,660,2,2,2,Hackney,London,No,small
875000,Flat / Apartment,627,1,1,1,Tower Hamlets,London,No,small
565000,Flat / Apartment,872,2,2,2,Tower Hamlets,London,No,small
650000,Flat / Apartment,736,2,2,2,Wandsworth,London,No,small
635000,Flat / Apartment,927,2,2,2,Wandsworth,London,No,small
449950,Flat / Apartment,526,2,2,2,Hackney,London,No,small
425000,Flat / Apartment,474,1,1,1,Westminster,London,No,small
675000,Flat / Apartment,792,1,1,1,Islington,London,No,small
620000,New development,786,2,2,2,Islington,London,No,small
650000,Flat / Apartment,747,2,2,2,Hackney,London,No,small
500000,Flat / Apartment,663,1,1,1,Tower Hamlets,London,No,small
765000,New development,841,2,2,2,Wandsworth,London,No,small
650000,Flat / Apartment,882,2,2,2,Tower Hamlets,London,No,small
625000,Flat / Apartment,663,2,2,2,Wandsworth,London,No,small
525000,Flat / Apartment,707,2,2,2,Wandsworth,London,No,small
775000,Flat / Apartment,967,2,2,2,Hackney,London,No,small
700000,Flat / Apartment,797,2,2,2,Wandsworth,London,No,small
595000,Flat / Apartment,760,2,2,2,Ealing,London,No,small
525000,Flat / Apartment,540,1,1,1,Wandsworth,London,No,small
550000,House,538,2,2,2,Merton,London,No,small
180000,Flat / Apartment,745,2,2,2,Tower Hamlets,London,No,small
699950,House,909,3,3,3,Richmond,Surrey,No,small
665000,Flat / Apartment,935,3,3,3,Richmond,Surrey,No,small
550000,Penthouse,414,1,1,1,Hackney,London,No,small
690000,New development,596,1,1,1,Hackney,London,No,small
995000,Flat / Apartment,999,2,2,2,Westminster,London,No,small
334950,Flat / Apartment,477,1,1,1,Claygate,Surrey,No,small
1000000,Penthouse,962,2,2,2,Wandsworth,London,No,small
699950,Flat / Apartment,920,2,2,2,Islington,London,No,small
460000,Flat / Apartment,431,1,1,1,Westminster,London,No,small
900000,Flat / Apartment,769,2,2,2,Islington,London,Yes,small
399995,Flat / Apartment,990,3,3,3,Greenwich,London,No,small
650000,New development,646,2,2,2,Hackney,London,No,small
600000,House,953,3,3,3,Wandsworth,London,No,small
775000,Flat / Apartment,939,2,2,2,Wandsworth,London,No,small
625000,Flat / Apartment,652,2,2,2,Westminster,London,No,small
550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,No,small
499000,Flat / Apartment,451,1,1,1,Camden,London,No,small
475000,New development,560,1,1,1,Islington,London,No,small
560000,New development,657,2,2,2,Islington,London,No,small
610000,New development,758,2,2,2,Islington,London,No,small
600000,New development,758,2,2,2,Islington,London,No,small
615000,Flat / Apartment,797,1,1,1,Hammersmith and Fulham,London,No,small
625000,Flat / Apartment,960,2,2,2,Richmond Upon Thames,London,No,small
600000,Flat / Apartment,658,1,1,1,Hammersmith and Fulham,London,No,small
650000,Flat / Apartment,848,2,2,2,Wandsworth,London,No,small
825000,Flat / Apartment,843,2,2,2,Hammersmith and Fulham,London,No,small
675000,Flat / Apartment,946,3,3,3,Wandsworth,London,No,small
1050000,Flat / Apartment,976,2,2,2,Lambeth,London,No,small
1200000,Flat / Apartment,932,2,2,2,Camden,London,No,small
625000,Flat / Apartment,663,2,2,2,Hammersmith and Fulham,London,No,small
450000,Flat / Apartment,600,2,2,2,Wandsworth,London,No,small
995000,Flat / Apartment,908,2,2,2,Westminster,London,No,small
549950,Flat / Apartment,730,1,1,1,Wandsworth,London,No,small
699500,New development,990,2,2,2,Islington,London,No,small
799950,Flat / Apartment,770,2,2,2,Camden,London,No,small
799950,Flat / Apartment,940,3,3,3,Hammersmith and Fulham,London,No,small
850000,Flat / Apartment,978,3,3,3,Islington,London,Yes,small
570000,Flat / Apartment,682,2,2,2,Hammersmith and Fulham,London,No,small
475000,Flat / Apartment,496,1,1,1,Greenwich,London,No,small
800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,No,small
650000,Flat / Apartment,595,2,2,2,Westminster,London,No,small
1295000,House,876,4,4,4,Wandsworth,London,No,small
1000000,House,905,2,2,2,Wandsworth,London,No,small
635000,Flat / Apartment,797,2,2,2,Merton,London,No,small
850000,Flat / Apartment,876,2,2,2,Wandsworth,London,No,small
500000,Flat / Apartment,872,2,2,2,Northwood,Middlesex,No,small
995000,Flat / Apartment,888,1,1,1,Kensington and Chelsea,London,No,small
749950,Flat / Apartment,855,2,2,2,Hackney,London,No,small
420000,New development,538,1,1,1,Islington,London,No,small
424995,Flat / Apartment,422,1,1,1,Hackney,London,No,small
550000,Flat / Apartment,600,1,1,1,Tower Hamlets,London,No,small
475000,Flat / Apartment,381,1,1,1,Islington,London,Yes,small
595000,Flat / Apartment,791,2,2,2,Kensington and Chelsea,London,No,small
755000,Flat / Apartment,907,3,3,3,Hammersmith and Fulham,London,No,small
450000,Flat / Apartment,696,2,2,2,Wandsworth,London,No,small
325000,Flat / Apartment,339,1,1,1,Tower Hamlets,London,No,small
575000,Flat / Apartment,695,2,2,2,Wandsworth,London,No,small
649950,Flat / Apartment,804,2,2,2,Islington,London,No,small
499000,New development,690,2,2,2,Southwark,London,No,small
1095000,House,950,2,2,2,Merton,London,No,small
550000,Flat / Apartment,904,2,2,2,Merton,London,No,small
750000,Flat / Apartment,911,2,2,2,Wandsworth,London,No,small
665000,Flat / Apartment,647,2,2,2,Westminster,London,No,small
600000,Flat / Apartment,632,2,2,2,Wandsworth,London,No,small
700000,Flat / Apartment,946,2,2,2,Wandsworth,London,No,small
1000000,Flat / Apartment,884,1,1,1,Camden,London,No,small
375000,Flat / Apartment,444,1,1,1,Ealing,London,No,small
725000,New development,591,1,1,1,Hammersmith and Fulham,London,No,small
585000,Flat / Apartment,795,2,2,2,Wandsworth,London,No,small
550000,Flat / Apartment,666,2,2,2,Tower Hamlets,London,No,small
1250000,Flat / Apartment,885,2,2,2,Camden,London,No,small
430000,Studio,514,1,1,1,Lambeth,London,No,small
830000,Flat / Apartment,891,2,2,2,Lambeth,London,No,small
1100000,Flat / Apartment,635,1,1,1,Westminster,London,Yes,small
925000,Flat / Apartment,706,1,1,1,Kensington and Chelsea,London,No,small
450000,Flat / Apartment,569,2,2,2,Islington,London,No,small
650000,Flat / Apartment,720,2,2,2,Hackney,London,No,small
799950,Flat / Apartment,956,2,2,2,Camden,London,No,small
775000,Flat / Apartment,810,1,1,1,Islington,London,Yes,small
750000,Flat / Apartment,686,1,1,1,Wandsworth,London,No,small
650000,Flat / Apartment,674,2,2,2,Islington,London,Yes,small
695000,Flat / Apartment,964,2,2,2,Ealing,London,No,small
575000,Flat / Apartment,573,2,2,2,Hammersmith and Fulham,London,No,small
1100000,Flat / Apartment,816,2,2,2,Tower Hamlets,London,No,small
649999,New development,569,1,1,1,Hackney,London,No,small
725000,House,960,3,3,3,Hounslow,London,No,small
785000,Flat / Apartment,739,2,2,2,Hammersmith and Fulham,London,No,small
400000,Flat / Apartment,491,1,1,1,Hackney,London,No,small
899950,Flat / Apartment,947,2,2,2,Islington,London,No,small
925000,Flat / Apartment,931,2,2,2,Islington,London,No,small
795000,New development,825,2,2,2,Hammersmith and Fulham,London,No,small
795000,Flat / Apartment,798,2,2,2,Hammersmith and Fulham,London,No,small
499999,Flat / Apartment,452,1,1,1,Ealing,London,No,small
780000,New development,558,1,1,1,Hammersmith and Fulham,London,No,small
398000,New development,461,1,1,1,Lewisham,London,No,small
570000,Flat / Apartment,680,2,2,2,Southwark,London,No,small
655000,Flat / Apartment,703,2,2,2,Islington,London,Yes,small
375000,Flat / Apartment,482,1,1,1,Hackney,London,No,small
670000,Flat / Apartment,614,2,2,2,Wandsworth,London,No,small
700000,Flat / Apartment,707,2,2,2,Wandsworth,London,No,small
775000,Flat / Apartment,705,2,2,2,Richmond,Surrey,No,small
699999,New development,878,2,2,2,Wandsworth,London,No,small
390000,New development,506,1,1,1,Islington,London,No,small
465000,Flat / Apartment,543,1,1,1,Westminster,London,No,small
699950,Flat / Apartment,786,2,2,2,Merton,London,No,small
465000,Flat / Apartment,473,1,1,1,Westminster,London,No,small
500000,Flat / Apartment,451,1,1,1,Westminster,London,No,small
550000,Flat / Apartment,676,2,2,2,Richmond,Surrey,No,small
775000,Flat / Apartment,820,2,2,2,Wandsworth,London,No,small
699950,Penthouse,907,2,2,2,Wandsworth,London,No,small
249999,Flat / Apartment,458,1,1,1,Lambeth,London,No,small
990000,New development,820,2,2,2,Hammersmith and Fulham,London,No,small
765000,New development,618,1,1,1,Westminster,London,No,small
474950,Flat / Apartment,540,1,1,1,Hackney,London,No,small
650000,Flat / Apartment,668,1,1,1,Camden,London,No,small
499950,Flat / Apartment,603,1,1,1,Ealing,London,No,small
449950,Flat / Apartment,539,1,1,1,Ealing,London,No,small
375000,Flat / Apartment,961,2,2,2,Richmond Upon Thames,Surrey,No,small
625000,House,968,3,3,3,Esher,Surrey,No,small
395000,Flat / Apartment,734,2,2,2,Kensington and Chelsea,London,No,small
430000,Flat / Apartment,477,1,1,1,Hammersmith and Fulham,London,No,small
635000,Flat / Apartment,556,2,2,2,Hammersmith and Fulham,London,No,small
1000000,New development,960,2,2,2,Hammersmith and Fulham,London,No,small
420000,Flat / Apartment,783,2,2,2,Hammersmith and Fulham,London,No,small
699950,Flat / Apartment,816,2,2,2,Wandsworth,London,No,small
585000,Flat / Apartment,552,1,1,1,Wandsworth,London,No,small
375000,House,880,3,3,3,Walton-on-Thames,Surrey,No,small
995000,Flat / Apartment,814,2,2,2,Westminster,London,No,small
875000,Flat / Apartment,570,2,2,2,Westminster,London,Yes,small
750000,Flat / Apartment,633,2,2,2,Westminster,London,Yes,small
565000,New development,739,2,2,2,Islington,London,No,small
485000,Flat / Apartment,822,2,2,2,Hackney,London,No,small
520000,Flat / Apartment,944,2,2,2,East Molesey,Surrey,No,small
545000,New development,691,1,1,1,Wandsworth,London,No,small
